distortion,level,model,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
SevereJPEG,80.0,pretrained,truck,0.18917530945418098,0.23889966473919083,0.019971469329529243,0.6086956521739131,0.7836042774415449,23.0,701.0
SevereJPEG,80.0,fine_tuned,person,0.20842389921931814,0.4064136030151003,0.02636830964620502,0.6097902097902098,0.7206984049303241,715.0,16535.0
SevereJPEG,80.0,fine_tuned,bicycle,0.13061331356051162,0.28226623190741995,0.04667651403249631,0.5683453237410072,0.6890717995728939,278.0,3385.0
SevereJPEG,80.0,fine_tuned,car,0.3744918721897584,0.592439990488853,0.09136081309994354,0.7115215479331575,0.7734927244775558,1137.0,8855.0
SevereJPEG,80.0,fine_tuned,motorcycle,0.06892829533124012,0.16955456180634157,0.04868913857677903,0.35135135135135137,0.6892608644665708,37.0,267.0
SevereJPEG,80.0,fine_tuned,bus,0.2478151917358919,0.3090789729127712,0.11842105263157894,0.42857142857142855,0.8914893833161008,21.0,76.0
SevereJPEG,80.0,fine_tuned,train,0.0,0.0,0.0,0.0,0.0,3.0,93.0
SevereJPEG,80.0,fine_tuned,truck,0.2157198540259722,0.27301343525172955,0.01859799713876967,0.5652173913043478,0.7811221767027677,23.0,699.0
SevereJPEG,60.0,pretrained,person,0.1822443883256764,0.33987435407557065,0.06133575647432985,0.5664335664335665,0.7260819792279327,715.0,6603.0
SevereJPEG,60.0,pretrained,bicycle,0.09356996159993294,0.1825005955049287,0.06608811748998665,0.35611510791366907,0.6923655374179876,278.0,1498.0
SevereJPEG,60.0,pretrained,car,0.32455682618690485,0.5239680798627524,0.09548200682952455,0.6394019349164468,0.7655923294318476,1137.0,7614.0
SevereJPEG,60.0,pretrained,motorcycle,0.055015993049168224,0.13285664244173778,0.07586206896551724,0.2972972972972973,0.671778419982255,37.0,145.0
SevereJPEG,60.0,pretrained,bus,0.347627311992283,0.4463853528209964,0.02666666666666667,0.5714285714285714,0.814582730080636,21.0,450.0
SevereJPEG,60.0,pretrained,train,0.0504950495049505,0.16831683168316833,0.013157894736842105,0.3333333333333333,0.6067507655664341,3.0,76.0
SevereJPEG,60.0,pretrained,truck,0.18415736187447157,0.23902077702426167,0.020771513353115726,0.6086956521739131,0.7639269442276669,23.0,674.0
SevereJPEG,60.0,fine_tuned,person,0.20651102768897395,0.39843666358912905,0.026399219607364955,0.6055944055944056,0.7202738785813478,715.0,16402.0
SevereJPEG,60.0,fine_tuned,bicycle,0.12918206607836574,0.275389796420704,0.04323853743470691,0.5359712230215827,0.697569756721701,278.0,3446.0
SevereJPEG,60.0,fine_tuned,car,0.3709792563356521,0.5898609253995603,0.0887958576622232,0.7088830255057168,0.7736316366045382,1137.0,9077.0
SevereJPEG,60.0,fine_tuned,motorcycle,0.06112186088893899,0.1727644472872729,0.04912280701754386,0.3783783783783784,0.682048960878998,37.0,285.0
SevereJPEG,60.0,fine_tuned,bus,0.2514535163923632,0.3060285666575707,0.11538461538461539,0.42857142857142855,0.8812661926302111,21.0,78.0
SevereJPEG,60.0,fine_tuned,train,0.0,0.0,0.0,0.0,0.0,3.0,86.0
