sample_id,distortion,level_index,level,restoration_recipe_version,restoration_method,restoration_parameters,restoration_runtime_ms,distorted_snr_db,restored_snr_db,snr_gain_db,distorted_psnr_db,restored_psnr_db,psnr_gain_db,distorted_ssim,restored_ssim,ssim_gain,distorted_mae,restored_mae,mae_reduction,orb_restored,canny_restored,seg_restored_image_miou,detections_restored,detections_distorted,orb_distorted,canny_distorted,seg_distorted_image_miou
frankfurt_000000_009688,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",67.14689999989787,18.75352465334718,19.246081706244336,0.4925570528971548,27.501899523351334,27.99445595915349,0.49255643580215747,0.8602184653282166,0.89208984375,0.03187137842178345,8.463740348815918,8.04033374786377,0.42340660095214844,0.415,0.6664629693295716,0.23762742346928753,180,199,0.4575,0.8036631141542042,0.23390266466760595
frankfurt_000000_009969,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",67.19610000072862,18.640875573435242,19.324341283852352,0.68346571041711,26.6581490434349,27.341614775866162,0.6834657324312623,0.8142558932304382,0.8582635521888733,0.04400765895843506,9.193428993225098,8.537692070007324,0.6557369232177734,0.45625,0.8152020685600251,0.32141906442465107,183,188,0.4425,0.8866946420396187,0.2943692239845957
frankfurt_000000_011007,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",67.98619999972288,19.80012656362443,20.405195265866926,0.6050687022424945,27.877094827317283,28.482163275017225,0.6050684476999422,0.8542057275772095,0.8879562616348267,0.03375053405761719,7.89532470703125,7.417039394378662,0.4782853126525879,0.39375,0.8685858704233131,0.2336665834691109,180,193,0.395,0.8913552907113311,0.23676828774475644
frankfurt_000000_011074,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",69.3371000006664,19.454438725363396,20.21067072594786,0.7562320005844647,27.111496677477874,27.86772877940627,0.7562321019283971,0.8068615198135376,0.8627512454986572,0.05588972568511963,8.694579124450684,7.985321044921875,0.7092580795288086,0.51375,0.8071843399678104,0.3238322617173871,155,148,0.5,0.8224240474481758,0.30965779842310553
frankfurt_000000_011461,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",69.58369999938441,18.181789602275813,18.832641645138747,0.6508520428629332,26.257206496682578,26.908058705590765,0.6508522089081872,0.7840203046798706,0.8283991813659668,0.04437887668609619,9.587603569030762,8.92797565460205,0.6596279144287109,0.5175,0.8153744654889277,0.288053373804413,159,164,0.5075,0.8811449744248452,0.2921212451716402
frankfurt_000000_012868,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",69.5997000002535,19.239915906767415,20.01832343385462,0.7784075270872037,26.534220998773407,27.312628428076287,0.7784074293028809,0.7907718420028687,0.8412140607833862,0.05044221878051758,9.192150115966797,8.423077583312988,0.7690725326538086,0.5275,0.8530967735626512,0.3127744979029994,237,229,0.5425,0.886865436320598,0.2987514344965311
frankfurt_000000_013067,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",72.31709999996383,18.256496303334945,18.971456227524108,0.7149599241891629,26.328085978797148,27.043045794077244,0.7149598152800962,0.798564612865448,0.8456324934959412,0.047067880630493164,9.435750007629395,8.717254638671875,0.7184953689575195,0.4875,0.8496057558418638,0.31063394268359,157,170,0.48625,0.8826990235192036,0.2787483681558961
frankfurt_000000_013240,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",68.34960000014689,18.610146429723468,19.311189948245474,0.7010435185220061,26.503491494294373,27.20453470476123,0.7010432104668567,0.8060809373855591,0.8561495542526245,0.05006861686706543,9.431254386901855,8.702189445495605,0.72906494140625,0.48625,0.8360467227641225,0.37711509782686775,181,173,0.50125,0.8694898913093562,0.3841602263957693
frankfurt_000000_013382,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",68.71490000048652,20.097036914201126,20.745938774552407,0.6489018603512804,27.764719798587933,28.41362178562738,0.6489019870394479,0.8389113545417786,0.8778584599494934,0.038947105407714844,7.906569004058838,7.388595104217529,0.5179738998413086,0.47,0.8121839629292606,0.3054268608567267,191,189,0.46625,0.8735204906706878,0.27642807892699656
frankfurt_000000_015389,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",68.33590000042022,18.58668758673041,19.251506591524578,0.6648190047941682,26.514459056046572,27.179278296116184,0.6648192400696118,0.7952739000320435,0.8383427262306213,0.04306882619857788,9.217803001403809,8.568460464477539,0.6493425369262695,0.51375,0.7769132681665578,0.24182487852180445,166,158,0.51,0.8474968517984102,0.2398426632518596
frankfurt_000000_016005,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",68.94959999954153,18.72401179578771,19.43023068907666,0.7062188932889484,27.16959309605327,27.875812046290758,0.7062189502374885,0.8095438480377197,0.8555665016174316,0.046022653579711914,8.63891887664795,8.004373550415039,0.6345453262329102,0.4225,0.7699206043934681,0.2818599114399175,187,189,0.44125,0.8419813088587133,0.28700361266726254
frankfurt_000000_017228,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",69.1925999999512,18.49339814511241,19.158091293594737,0.6646931484823284,26.992432033961183,27.657125201094132,0.664693167132949,0.7961385250091553,0.8389887809753418,0.04285025596618652,8.84485912322998,8.262889862060547,0.5819692611694336,0.435,0.7948415807312369,0.280982766709067,159,157,0.4225,0.8239298096871412,0.26522063479804664
frankfurt_000000_018797,SevereJPEG,4,5.0,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",68.04709999960323,18.247313480064836,18.798193322131493,0.5508798420666565,26.11351356145314,26.66439334676849,0.5508797853153524,0.8394873142242432,0.8718662261962891,0.0323789119720459,9.51824951171875,9.007027626037598,0.5112218856811523,0.51125,0.7285510386295196,0.35403248174381824,152,152,0.5475,0.8083004510071109,0.341868031355634
