sample_id,orb_keypoints,orb_self_match_retention,seg_mean_iou,seg_classes_present,gt_detection_objects,yolo_detection_objects
frankfurt_000001_058914,800.0,1.0,0.45423556221392575,12,29,151
frankfurt_000001_059119,800.0,1.0,0.40410875015149494,13,35,132
frankfurt_000001_059642,800.0,1.0,0.43732030472978567,13,21,135
frankfurt_000001_059789,800.0,1.0,0.5701699690958416,11,29,133
frankfurt_000001_060135,800.0,1.0,0.3602008061416865,14,8,140
frankfurt_000001_060422,800.0,1.0,0.3756039208505949,13,36,129
frankfurt_000001_060545,800.0,1.0,0.39133995299503344,16,35,154
frankfurt_000001_060906,800.0,1.0,0.45263344824898805,15,16,211
frankfurt_000001_061682,800.0,1.0,0.4211686053804477,15,11,132
frankfurt_000001_061763,800.0,1.0,0.5825968800141347,13,12,143
frankfurt_000001_062016,800.0,1.0,0.4073420079394289,16,15,92
frankfurt_000001_062250,800.0,1.0,0.39343396021735755,14,18,127
frankfurt_000001_062396,800.0,1.0,0.6133900961761438,13,23,139
frankfurt_000001_062509,800.0,1.0,0.5492765720819629,10,20,198
frankfurt_000001_062653,800.0,1.0,0.5489848527614966,12,18,182
frankfurt_000001_062793,800.0,1.0,0.3802588610511502,16,26,133
frankfurt_000001_063045,800.0,1.0,0.5603852810013139,14,29,170
frankfurt_000001_064130,800.0,1.0,0.5537268024311124,12,25,227
frankfurt_000001_064305,800.0,1.0,0.41248479248335723,14,23,233
frankfurt_000001_064651,800.0,1.0,0.46962298096935046,11,30,196
frankfurt_000001_064798,800.0,1.0,0.4720049348711503,12,38,177
frankfurt_000001_064925,800.0,1.0,0.4536524829562012,11,30,180
frankfurt_000001_065160,800.0,1.0,0.46386401526893156,13,17,91
frankfurt_000001_065617,800.0,1.0,0.47187367284702436,14,20,193
frankfurt_000001_065850,800.0,1.0,0.42112448005663866,13,18,167
frankfurt_000001_066092,800.0,1.0,0.40201330355004145,15,5,211
frankfurt_000001_066438,800.0,1.0,0.388264386703123,12,12,227
frankfurt_000001_066574,800.0,1.0,0.2398732099415996,16,20,215
frankfurt_000001_066832,800.0,1.0,0.3307556404925081,15,12,206
frankfurt_000001_067092,800.0,1.0,0.5140793465328739,9,35,196
frankfurt_000001_067178,800.0,1.0,0.31025402815311615,14,27,193
frankfurt_000001_067295,800.0,1.0,0.36914017281169786,15,40,225
frankfurt_000001_067474,800.0,1.0,0.5444544386105626,15,16,146
frankfurt_000001_067735,800.0,1.0,0.4425323289245481,13,19,203
frankfurt_000001_068063,800.0,1.0,0.43191747603225566,13,30,187
frankfurt_000001_068208,800.0,1.0,0.4800618313678884,15,19,155
frankfurt_000001_068682,800.0,1.0,0.5128415707552622,12,18,125
frankfurt_000001_068772,800.0,1.0,0.5063706985192905,15,38,104
frankfurt_000001_069633,800.0,1.0,0.5434433934701247,13,35,190
