epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1240.8,1.15638,0.68413,0.93998,0.54884,0.40292,0.41016,0.25231,1.05609,0.6944,0.95315,0.000280275,0.000280275,0.000280275
28,1286.32,1.1489,0.67583,0.93579,0.55939,0.3885,0.40807,0.25592,1.05488,0.69133,0.95236,0.000246363,0.000246363,0.000246363
29,1332.24,1.13804,0.66957,0.93397,0.55982,0.3883,0.41188,0.2558,1.05078,0.69243,0.95091,0.000214046,0.000214046,0.000214046
30,1377.41,1.13929,0.67076,0.93451,0.59471,0.38885,0.42018,0.26784,1.05244,0.68593,0.95089,0.000183523,0.000183523,0.000183523
31,1423.51,1.13413,0.66454,0.93217,0.58276,0.39724,0.41553,0.26178,1.05361,0.68326,0.9511,0.000154982,0.000154982,0.000154982
32,1469.03,1.12755,0.66106,0.92981,0.60002,0.376,0.40797,0.25191,1.0502,0.68805,0.95232,0.000128599,0.000128599,0.000128599
33,1514.58,1.11087,0.65111,0.9278,0.61354,0.35856,0.40815,0.25168,1.04705,0.68449,0.95076,0.000104537,0.000104537,0.000104537
34,1560.51,1.11861,0.65191,0.92738,0.57064,0.37756,0.4104,0.25649,1.04855,0.68641,0.94977,8.29431e-05,8.29431e-05,8.29431e-05
35,1606.48,1.11317,0.64837,0.92707,0.53231,0.38773,0.40508,0.25529,1.051,0.68757,0.95223,6.39518e-05,6.39518e-05,6.39518e-05
36,1663.71,1.12175,0.65456,0.93291,0.55318,0.36519,0.39129,0.244,1.05499,0.69745,0.95356,4.76796e-05,4.76796e-05,4.76796e-05
37,1706,1.10397,0.63681,0.92709,0.53695,0.38047,0.39419,0.24423,1.05597,0.69183,0.95401,3.4227e-05,3.4227e-05,3.4227e-05
38,1748.42,1.0997,0.63359,0.92512,0.57173,0.37137,0.39768,0.2493,1.05524,0.69067,0.95343,2.36769e-05,2.36769e-05,2.36769e-05
39,1790.42,1.09647,0.63163,0.92376,0.56003,0.374,0.39513,0.24743,1.05402,0.68956,0.9534,1.60943e-05,1.60943e-05,1.60943e-05
40,1832.69,1.09499,0.63114,0.92384,0.56182,0.37237,0.39464,0.2472,1.05607,0.69047,0.9539,1.15259e-05,1.15259e-05,1.15259e-05
