distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,operating_confidence,precision_50_at_operating_confidence,recall_50_at_operating_confidence,f1_50_at_operating_confidence,gt_count,prediction_count,operating_prediction_count
SevereJPEG,60.0,distorted,truck,0.1841530074435142,0.23901800366978274,0.020802377414561663,0.6086956521739131,0.7642782443886917,0.25,0.25806451612903225,0.34782608695652173,0.2962962962962963,23.0,673.0,31.0
SevereJPEG,60.0,restored,person,0.18192803325191595,0.34377659394682886,0.06170406306852638,0.5692307692307692,0.7248035839028982,0.25,0.6485714285714286,0.3174825174825175,0.42629107981220654,715.0,6596.0,350.0
SevereJPEG,60.0,restored,bicycle,0.09609962460470281,0.18663632243104167,0.06764902880107167,0.36330935251798563,0.6874750342941218,0.25,0.7272727272727273,0.14388489208633093,0.24024024024024024,278.0,1493.0,55.0
SevereJPEG,60.0,restored,car,0.32446138972639915,0.5275658812165677,0.09577391076802302,0.6437994722955145,0.7628254422123416,0.25,0.8434163701067615,0.41688654353562005,0.5579752795762213,1137.0,7643.0,562.0
SevereJPEG,60.0,restored,motorcycle,0.053483276444935446,0.13559319517475765,0.0763888888888889,0.2972972972972973,0.6621399255150741,0.25,0.6666666666666666,0.10810810810810811,0.18604651162790697,37.0,144.0,6.0
SevereJPEG,60.0,restored,bus,0.3474683820689317,0.44557152788149673,0.027522935779816515,0.5714285714285714,0.8168027600129885,0.25,1.0,0.3333333333333333,0.5,21.0,436.0,7.0
SevereJPEG,60.0,restored,train,0.0504950495049505,0.16831683168316833,0.013333333333333334,0.3333333333333333,0.6037675505815494,0.25,0.0,0.0,0.0,3.0,75.0,1.0
SevereJPEG,60.0,restored,truck,0.18754698926210578,0.24182319813408656,0.0213089802130898,0.6086956521739131,0.7638109812230087,0.25,0.25,0.34782608695652173,0.2909090909090909,23.0,657.0,32.0
SevereJPEG,40.0,distorted,person,0.18005127503478113,0.3423811618106853,0.06037059175134489,0.5650349650349651,0.7244416300333819,0.25,0.6540697674418605,0.3146853146853147,0.42492917847025496,715.0,6692.0,344.0
SevereJPEG,40.0,distorted,bicycle,0.09311150033864393,0.17704829001221242,0.06212424849699399,0.3345323741007194,0.6931991189345379,0.25,0.6730769230769231,0.12589928057553956,0.21212121212121213,278.0,1497.0,52.0
SevereJPEG,40.0,distorted,car,0.32723273864233404,0.5321266653301889,0.09653561697158428,0.6543535620052771,0.7591854088243125,0.25,0.8405017921146953,0.4124890061565523,0.5533923303834808,1137.0,7707.0,558.0
SevereJPEG,40.0,distorted,motorcycle,0.050562577555930036,0.1448161449004941,0.0661764705882353,0.24324324324324326,0.6505846360246967,0.25,0.6666666666666666,0.10810810810810811,0.18604651162790697,37.0,136.0,6.0
