model,distortion,severity_index,level,sample_count,mean_snr_db,map_50_95,map_50,mean_precision_50,mean_recall_50,mean_matched_iou_50,operating_confidence,mean_precision_50_at_operating_confidence,mean_recall_50_at_operating_confidence,mean_f1_50_at_operating_confidence,ground_truth_objects,predicted_objects,evaluated_classes,operating_predicted_objects
pretrained,SevereJPEG,5,5.0,500,18.476975529710028,0.10171144947850205,0.169744256496193,0.032633064643861134,0.38848721367528954,0.7259915978732702,0.25,0.4225019195835236,0.17746554862329497,0.21397670747094177,9576.0,100306.0,7.0,3440.0
robust_seed_7,SevereJPEG,5,5.0,500,18.476975529710028,0.1960348345247149,0.33224623339341947,0.03945825089132018,0.5390390834149861,0.7344561349506292,0.25,0.5657138192859275,0.2999884454063024,0.3810176050155448,9576.0,115848.0,7.0,5519.0
robust_seed_17,SevereJPEG,5,5.0,500,18.476975529710028,0.19954411357389565,0.3262678661104073,0.04036793725931153,0.5262362699113783,0.7431598646409581,0.25,0.5440907679513209,0.3016772379634803,0.37594920309407215,9576.0,113967.0,7.0,5923.0
robust_seed_29,SevereJPEG,5,5.0,500,18.476975529710028,0.1949430784209425,0.32873625283381136,0.04214916692958549,0.5415423205866955,0.7326471618978703,0.25,0.5247400024074172,0.3088186377324554,0.37817551886894957,9576.0,105490.0,7.0,5697.0
pretrained,LowLight,1,0.8,500,13.821119120944102,0.16093518618052682,0.2620754123584181,0.052346541060350325,0.4588152017512911,0.7250165066547162,0.25,0.5567404598641552,0.254117821890966,0.32090380880679886,9576.0,70688.0,7.0,4458.0
robust_seed_7,LowLight,1,0.8,500,13.821119120944102,0.25484064980126836,0.4190502773795446,0.062309221234699154,0.6021949975173494,0.7572911542362754,0.25,0.6201869619242857,0.37563068067083105,0.46250975601984495,9576.0,90308.0,7.0,6754.0
robust_seed_17,LowLight,1,0.8,500,13.821119120944102,0.26564553700562804,0.44222903583753487,0.06155100064242023,0.6172674975103966,0.7491793480981476,0.25,0.6268326879997778,0.40263651862360084,0.48678957408612084,9576.0,89494.0,7.0,6896.0
robust_seed_29,LowLight,1,0.8,500,13.821119120944102,0.2537260823626316,0.424972993270364,0.06069817851471372,0.6206437654226313,0.7540613821264136,0.25,0.5952651630807336,0.40452270261172485,0.4768862716278713,9576.0,85857.0,7.0,6969.0
pretrained,LowLight,2,0.6,500,7.880081533715582,0.15846259823481113,0.2552951694985553,0.05251115912298611,0.4483875105287062,0.7297856453473932,0.25,0.5481735776114756,0.24162947000654658,0.31124493193304653,9576.0,68974.0,7.0,4314.0
robust_seed_7,LowLight,2,0.6,500,7.880081533715582,0.25302360971444876,0.41558575317644825,0.061894717491497,0.599876725767731,0.7578081578872419,0.25,0.6135349768632611,0.37197424865563783,0.45730430322711785,9576.0,90770.0,7.0,6710.0
robust_seed_17,LowLight,2,0.6,500,7.880081533715582,0.2654785001561125,0.44543025875160147,0.06253567928517936,0.6216843689465268,0.7491294579844657,0.25,0.6389373612053639,0.3998868142924062,0.48796366036275207,9576.0,89699.0,7.0,6864.0
robust_seed_29,LowLight,2,0.6,500,7.880081533715582,0.25662316175674216,0.4271769154060508,0.06167207015953878,0.6213472755679573,0.7556398022550612,0.25,0.6191686303557128,0.40358774367243305,0.4831605159869163,9576.0,86111.0,7.0,6905.0
pretrained,LowLight,3,0.4,500,4.384208244799512,0.16092470834076053,0.25989334443071926,0.05541120983604343,0.4509224416547801,0.7364551638362397,0.25,0.5875900838168879,0.2363079450010896,0.3074985706108629,9576.0,66435.0,7.0,4072.0
robust_seed_7,LowLight,3,0.4,500,4.384208244799512,0.24895590486026756,0.41205035166776727,0.05952681737979278,0.5952347321182854,0.7580741625210055,0.25,0.6149642248617103,0.38441525878828126,0.4670236883939884,9576.0,92537.0,7.0,6678.0
robust_seed_17,LowLight,3,0.4,500,4.384208244799512,0.2621576896289153,0.4379374929393827,0.061889846600884445,0.6223668165722375,0.7520079143935287,0.25,0.6226545013201182,0.39485007648635106,0.4797337349495911,9576.0,90918.0,7.0,6810.0
robust_seed_29,LowLight,3,0.4,500,4.384208244799512,0.25876160559102895,0.42853417181594233,0.06195219025748066,0.6202427106481763,0.7571202902834226,0.25,0.6117713514000974,0.40801019046807013,0.4821551216455364,9576.0,87261.0,7.0,6857.0
pretrained,LowLight,4,0.25,500,2.455510182177344,0.14850117262335152,0.23913514029332888,0.05836386363918616,0.42770876142732833,0.7415723658652936,0.25,0.5535118925542012,0.20969027828568848,0.2820325892475271,9576.0,63809.0,7.0,3683.0
robust_seed_7,LowLight,4,0.25,500,2.455510182177344,0.24382591940071935,0.4058014896103801,0.05642132435287027,0.5958171814013259,0.7495757516417925,0.25,0.6037386723878903,0.37539648572615675,0.4543029443023806,9576.0,95915.0,7.0,6536.0
robust_seed_17,LowLight,4,0.25,500,2.455510182177344,0.25400137768157055,0.42047470487362787,0.05784260485502517,0.6033197421591149,0.7576427847444346,0.25,0.602053388432459,0.3799783345002562,0.4619114338030384,9576.0,93387.0,7.0,6746.0
robust_seed_29,LowLight,4,0.25,500,2.455510182177344,0.24721384405155086,0.4168935366525283,0.05948398114539872,0.6044575265262547,0.7512236060906738,0.25,0.5923217053547044,0.3911952096963044,0.4612941837313773,9576.0,89437.0,7.0,6745.0
pretrained,LowLight,5,0.1,500,0.873418402807999,0.09618023911088781,0.1561756677599155,0.052445229415936157,0.32372650061685,0.7325014692384252,0.25,0.5524010399548083,0.11442371000456443,0.18031750371002625,9576.0,54725.0,7.0,2052.0
robust_seed_7,LowLight,5,0.1,500,0.873418402807999,0.21057109146535447,0.35948497265550033,0.04586163780586157,0.5599694228284327,0.7400197864219248,0.25,0.6160888119885274,0.33251540911816563,0.42182814906650534,9576.0,106829.0,7.0,5873.0
robust_seed_17,LowLight,5,0.1,500,0.873418402807999,0.23143900147811142,0.3871328740977367,0.049737700861217586,0.5639226146888406,0.7491623872062332,0.25,0.5958771851687404,0.3580448898610843,0.44164009327667664,9576.0,100114.0,7.0,6186.0
robust_seed_29,LowLight,5,0.1,500,0.873418402807999,0.22215728933447712,0.37646843223702087,0.05444385631654399,0.589102302953015,0.7434177881331847,0.25,0.5776878190076831,0.35443030793151553,0.42918706536579326,9576.0,94343.0,7.0,6186.0
