model,distortion,severity_index,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,operating_confidence,precision_50_at_operating_confidence,recall_50_at_operating_confidence,f1_50_at_operating_confidence,gt_count,prediction_count,operating_prediction_count
robust_seed_17,LowLight,1,0.8,car,0.45558736557888857,0.6809263129821923,0.11345429213767771,0.770040833870621,0.7964326313774035,0.25,0.7515683814303639,0.6436707500537288,0.6934475573049317,4653.0,31581.0,3985.0
robust_seed_17,LowLight,1,0.8,motorcycle,0.1252076629300371,0.292325551285575,0.08763505402160865,0.4899328859060403,0.7016476076983929,0.25,0.48863636363636365,0.28859060402684567,0.3628691983122363,149.0,833.0,88.0
robust_seed_17,LowLight,1,0.8,bus,0.4228740583727326,0.5547311161502572,0.07383966244725738,0.7142857142857143,0.8213372380035913,0.25,0.7205882352941176,0.5,0.5903614457831324,98.0,948.0,68.0
robust_seed_17,LowLight,1,0.8,train,0.20134630302504836,0.41836536594835966,0.015604681404421327,0.5217391304347826,0.7133582897107743,0.25,0.6153846153846154,0.34782608695652173,0.4444444444444444,23.0,769.0,13.0
robust_seed_17,LowLight,1,0.8,truck,0.24280324489999194,0.33327902545525856,0.036036036036036036,0.5591397849462365,0.7890937672480522,0.25,0.5263157894736842,0.3225806451612903,0.39999999999999997,93.0,1443.0,57.0
robust_seed_29,LowLight,1,0.8,person,0.24258620831207506,0.46029244638017863,0.05862938714178383,0.6435935198821797,0.7240658153218322,0.25,0.6405613399728384,0.4167893961708395,0.5049964311206282,3395.0,37268.0,2209.0
robust_seed_29,LowLight,1,0.8,bicycle,0.1736345581620267,0.3731998994394996,0.048217339823707406,0.6291845493562231,0.6948615758804862,0.25,0.6106623586429726,0.3244635193133047,0.42376681614349776,1165.0,15202.0,619.0
robust_seed_29,LowLight,1,0.8,car,0.45539226906607977,0.6797078376005806,0.1217199184228416,0.7696110036535568,0.7968474066934275,0.25,0.7621122789028454,0.6389426176660219,0.6951133972410567,4653.0,29420.0,3901.0
robust_seed_29,LowLight,1,0.8,motorcycle,0.13195722428301618,0.293376171574874,0.07911392405063292,0.5033557046979866,0.6972809028889192,0.25,0.45,0.30201342281879195,0.36144578313253006,149.0,948.0,100.0
robust_seed_29,LowLight,1,0.8,bus,0.40871319749435386,0.5156622583253474,0.05641025641025641,0.673469387755102,0.8549752941925474,0.25,0.6233766233766234,0.4897959183673469,0.5485714285714286,98.0,1170.0,77.0
robust_seed_29,LowLight,1,0.8,train,0.13914574554809572,0.3417677191185267,0.018610421836228287,0.6521739130434783,0.6978638442152353,0.25,0.42105263157894735,0.34782608695652173,0.380952380952381,23.0,806.0,19.0
robust_seed_29,LowLight,1,0.8,truck,0.224653373672774,0.31080462045354057,0.04218600191754554,0.4731182795698925,0.8125348356924484,0.25,0.6590909090909091,0.3118279569892473,0.4233576642335766,93.0,1043.0,44.0
pretrained,LowLight,2,0.6,person,0.1609034402665077,0.3055473190589421,0.0664898515489741,0.5316642120765832,0.716125783932367,0.25,0.6588579795021962,0.2650957290132548,0.3780718336483932,3395.0,27147.0,1366.0
pretrained,LowLight,2,0.6,bicycle,0.10417819515449248,0.20705705728137644,0.06930693069306931,0.4025751072961373,0.6926977457293721,0.25,0.6006493506493507,0.15879828326180256,0.25118805159538354,1165.0,6767.0,308.0
pretrained,LowLight,2,0.6,car,0.3442441182892092,0.546889798082674,0.10279277164984746,0.65892972275951,0.7706016117220862,0.25,0.842061855670103,0.43885665162260906,0.5769991523029104,4653.0,29827.0,2425.0
pretrained,LowLight,2,0.6,motorcycle,0.050393006850279864,0.10685433220397936,0.06440071556350627,0.24161073825503357,0.693296076184689,0.25,0.4782608695652174,0.0738255033557047,0.12790697674418605,149.0,559.0,23.0
pretrained,LowLight,2,0.6,bus,0.2978464268647833,0.36917817941961045,0.03281519861830743,0.5816326530612245,0.8436188783814342,0.25,0.5285714285714286,0.37755102040816324,0.44047619047619047,98.0,1737.0,70.0
pretrained,LowLight,2,0.6,train,0.02172817318952739,0.06361119982966038,0.012232415902140673,0.17391304347826086,0.6270837492434185,0.25,0.5,0.08695652173913043,0.14814814814814817,23.0,327.0,4.0
pretrained,LowLight,2,0.6,truck,0.12994482702887783,0.18792830061364396,0.01954022988505747,0.5483870967741935,0.765075672238385,0.25,0.2288135593220339,0.2903225806451613,0.2559241706161137,93.0,2610.0,118.0
robust_seed_7,LowLight,2,0.6,person,0.23532341764796785,0.4463103865613274,0.054031566738944076,0.6312223858615611,0.7221908076089377,0.25,0.6577540106951871,0.3985272459499264,0.496331621423331,3395.0,39662.0,2057.0
robust_seed_7,LowLight,2,0.6,bicycle,0.17820765783433884,0.37474083787578255,0.041122751974900555,0.6300429184549357,0.697288701453014,0.25,0.6736242884250474,0.30472103004291845,0.41962174940898345,1165.0,17849.0,527.0
robust_seed_7,LowLight,2,0.6,car,0.4497651571966559,0.6756642399457139,0.11863726113583883,0.7618740597464002,0.7962147639424579,0.25,0.7530549898167006,0.63571889103804,0.689430136347745,4653.0,29881.0,3928.0
robust_seed_7,LowLight,2,0.6,motorcycle,0.12423770467246217,0.28539426437197934,0.08647990255785627,0.47651006711409394,0.7006833407109511,0.25,0.5070422535211268,0.24161073825503357,0.32727272727272727,149.0,821.0,71.0
