distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
GaussNoise,35.0,distorted,bus,0.08209195919591959,0.12942544254425442,0.05952380952380952,0.23809523809523808,0.7711220179132573,21.0,84.0
GaussNoise,35.0,distorted,train,0.0,0.0,0.0,0.0,0.0,3.0,228.0
GaussNoise,35.0,distorted,truck,0.03986108845580175,0.05423179246690242,0.006531204644412192,0.391304347826087,0.785960015732868,23.0,1378.0
GaussNoise,35.0,restored,person,0.14062939794044807,0.27443289385468794,0.04956629491945477,0.5034965034965035,0.7077288811627346,715.0,7263.0
GaussNoise,35.0,restored,bicycle,0.06543726705757193,0.12674266317591049,0.061505832449628844,0.20863309352517986,0.7014236234302672,278.0,943.0
GaussNoise,35.0,restored,car,0.2876415068929108,0.4755351549973449,0.08087803732832492,0.6059806508355321,0.7597792393227837,1137.0,8519.0
GaussNoise,35.0,restored,motorcycle,0.03659008093135568,0.14009837277164008,0.04,0.1891891891891892,0.6427016525389934,37.0,175.0
GaussNoise,35.0,restored,bus,0.1680992451148038,0.2030831231679888,0.03557312252964427,0.42857142857142855,0.7868884781317173,21.0,253.0
GaussNoise,35.0,restored,train,0.00612061206120612,0.0306030603060306,0.008849557522123894,0.3333333333333333,0.5630985128289978,3.0,113.0
GaussNoise,35.0,restored,truck,0.17090510085960858,0.20750711749250406,0.01929260450160772,0.5217391304347826,0.7890892859397681,23.0,622.0
GaussNoise,50.0,distorted,person,0.04299645728869929,0.09389892884775439,0.034759358288770054,0.2,0.6741796087261002,715.0,4114.0
GaussNoise,50.0,distorted,bicycle,0.006360467100190931,0.01124834132897826,0.02564102564102564,0.025179856115107913,0.6395753898530186,278.0,273.0
GaussNoise,50.0,distorted,car,0.10257389049782754,0.18153334955989367,0.06641753015118057,0.3438874230430959,0.7152737518929685,1137.0,5887.0
GaussNoise,50.0,distorted,motorcycle,0.0061988807576409816,0.012483857081360308,0.08695652173913043,0.05405405405405406,0.6608632503941694,37.0,23.0
GaussNoise,50.0,distorted,bus,0.011551155115511549,0.0165016501650165,0.0625,0.047619047619047616,0.8153401795049111,21.0,16.0
GaussNoise,50.0,distorted,train,0.0,0.0,0.0,0.0,0.0,3.0,177.0
GaussNoise,50.0,distorted,truck,0.03840796093102161,0.0627864200047417,0.009411764705882352,0.34782608695652173,0.7807349442654117,23.0,850.0
GaussNoise,50.0,restored,person,0.11435774824555851,0.23288975526364622,0.04911323328785812,0.45314685314685316,0.6977633993592581,715.0,6597.0
GaussNoise,50.0,restored,bicycle,0.047439435074836035,0.09671161267157675,0.04332874828060523,0.22661870503597123,0.6659108719199526,278.0,1454.0
GaussNoise,50.0,restored,car,0.26723070616366096,0.44627602808819655,0.06913003755963862,0.5989445910290238,0.7500139290197326,1137.0,9851.0
GaussNoise,50.0,restored,motorcycle,0.011444530171991436,0.047107582217229056,0.03125,0.13513513513513514,0.6219624987972246,37.0,160.0
GaussNoise,50.0,restored,bus,0.07226491305847002,0.09471208314861337,0.03225806451612903,0.23809523809523808,0.7334894793632641,21.0,155.0
GaussNoise,50.0,restored,train,0.0019801980198019802,0.009900990099009901,0.012048192771084338,0.3333333333333333,0.5890364484080054,3.0,83.0
GaussNoise,50.0,restored,truck,0.07125947703629502,0.11782056584072628,0.01639344262295082,0.4782608695652174,0.7360080576237814,23.0,671.0
SevereJPEG,80.0,distorted,person,0.18613874198890532,0.3460128328003133,0.062184101700107214,0.5678321678321678,0.7258281708674673,715.0,6529.0
SevereJPEG,80.0,distorted,bicycle,0.09683631202748474,0.18683310311804718,0.06845637583892618,0.3669064748201439,0.6883687969471676,278.0,1490.0
SevereJPEG,80.0,distorted,car,0.3282162012504835,0.5230164243976059,0.09669749009247028,0.6437994722955145,0.765315143500238,1137.0,7570.0
SevereJPEG,80.0,distorted,motorcycle,0.05362018639863817,0.13009599946481135,0.06870229007633588,0.24324324324324326,0.6663128929144952,37.0,131.0
SevereJPEG,80.0,distorted,bus,0.3294076883057764,0.42041611796647643,0.02412280701754386,0.5238095238095238,0.8381462886673081,21.0,456.0
SevereJPEG,80.0,distorted,train,0.036723672367236726,0.16831683168316833,0.011494252873563218,0.3333333333333333,0.594875202542595,3.0,87.0
SevereJPEG,80.0,distorted,truck,0.18917530945418098,0.23889966473919083,0.019971469329529243,0.6086956521739131,0.7836042774415449,23.0,701.0
SevereJPEG,80.0,restored,person,0.18537391624943425,0.34156043060434976,0.06286959228135698,0.5650349650349651,0.7257146164212829,715.0,6426.0
