sample_id,distortion,level_index,level,snr_db,orb_clean_keypoints,orb_distorted_keypoints,orb_keypoint_retention,orb_ratio_matches,orb_spatial_inliers,orb_match_retention,orb_inlier_ratio,canny_clean_edge_pixels,canny_distorted_edge_pixels,canny_edge_pixel_retention,canny_precision,canny_recall,canny_f1,seg_mean_iou,seg_classes_present,yolo_detection_objects,gt_detection_objects
frankfurt_000001_044227,GaussNoise,0,5.0,24.818374719144316,800.0,800.0,1.0,704.0,702.0,0.8775,0.9971590909090909,6399.0,6234.0,0.974214721050164,0.9886108437600256,0.9639006094702297,0.9760993650025884,0.44835760105037903,13,190,7
frankfurt_000001_044658,GaussNoise,0,5.0,25.675460854991275,800.0,800.0,1.0,728.0,727.0,0.90875,0.9986263736263736,9440.0,9204.0,0.975,0.9463276836158192,0.9239406779661017,0.9350001952003748,0.44296208679580434,15,167,19
frankfurt_000001_046779,GaussNoise,0,5.0,25.722320354376276,800.0,800.0,1.0,745.0,741.0,0.92625,0.9946308724832215,27947.0,27661.0,0.9897663434357892,0.9778388344600701,0.9694421583712026,0.9736223931810234,0.3583162649618152,14,235,27
frankfurt_000001_049698,GaussNoise,0,5.0,25.380352873869487,800.0,800.0,1.0,724.0,723.0,0.90375,0.9986187845303868,11701.0,12218.0,1.0441842577557474,0.948518579145523,0.9890607640372617,0.9683655163789673,0.44550041430722653,13,149,23
frankfurt_000001_049770,GaussNoise,0,5.0,25.675886753580972,800.0,800.0,1.0,716.0,713.0,0.89125,0.9958100558659218,13595.0,13998.0,1.0296432511952924,0.9605657951135876,0.9907318867230599,0.9754156645323061,0.3997199442990814,15,149,29
frankfurt_000001_051737,GaussNoise,0,5.0,26.443059160514064,800.0,800.0,1.0,736.0,732.0,0.915,0.9945652173913043,16412.0,16306.0,0.9935413112356812,0.9909849135287624,0.9881184499146966,0.9895496058792539,0.49768434355541835,13,104,28
frankfurt_000001_054219,GaussNoise,0,5.0,26.321833773269155,800.0,800.0,1.0,745.0,744.0,0.93,0.9986577181208054,22132.0,21874.0,0.9883426712452558,0.9674499405687117,0.9573920115669619,0.9623946980828594,0.48115290140032446,12,203,26
frankfurt_000001_054640,GaussNoise,0,5.0,27.084045303003577,800.0,800.0,1.0,723.0,717.0,0.89625,0.991701244813278,38237.0,38323.0,1.0022491304234118,0.9799859092451009,0.981222376232445,0.980603752966146,0.49590115956271624,14,222,49
frankfurt_000001_055172,GaussNoise,0,5.0,25.651154231429146,800.0,800.0,1.0,724.0,724.0,0.905,1.0,15389.0,15232.0,0.989797907596335,0.9660582983193278,0.9583468711417246,0.9621871342136445,0.5418671676041878,8,139,18
frankfurt_000001_058504,GaussNoise,0,5.0,25.520441297364236,800.0,800.0,1.0,736.0,733.0,0.91625,0.9959239130434783,20579.0,20755.0,1.0085524077943535,0.9700794989159238,0.9779872685747607,0.9740173337767218,0.5019946610871981,10,176,19
frankfurt_000001_058914,GaussNoise,0,5.0,26.534211658266557,800.0,800.0,1.0,723.0,717.0,0.89625,0.991701244813278,25590.0,25775.0,1.0072293864790933,0.9762560620756547,0.9833528722157092,0.9797916164402981,0.45335722484675456,12,161,29
frankfurt_000001_062250,GaussNoise,0,5.0,24.770002850020433,800.0,800.0,1.0,719.0,714.0,0.8925,0.9930458970792768,4412.0,4720.0,1.069809610154125,0.9264830508474576,0.9888939256572983,0.9566716865098726,0.37942354392816136,14,114,18
frankfurt_000001_062396,GaussNoise,0,5.0,26.109024261757877,800.0,800.0,1.0,721.0,718.0,0.8975,0.9958391123439667,10409.0,10513.0,1.0099913536362763,0.9686102920194045,0.9759823229897204,0.9722823336675211,0.6241955480721786,13,145,23
frankfurt_000001_062653,GaussNoise,0,5.0,25.022848178124157,800.0,800.0,1.0,725.0,725.0,0.90625,1.0,7208.0,7348.0,1.0194228634850167,0.9584921066956995,0.9778024417314095,0.9680509848758878,0.5399172869491963,12,189,18
frankfurt_000001_062793,GaussNoise,0,5.0,25.107965620055502,800.0,800.0,1.0,740.0,740.0,0.925,1.0,10074.0,9939.0,0.9865991661703395,0.9917496730053326,0.9775660115147905,0.9846067645545267,0.37734025698228907,16,126,26
frankfurt_000001_064651,GaussNoise,0,5.0,26.750229837758344,800.0,800.0,1.0,743.0,741.0,0.92625,0.9973082099596231,25719.0,25557.0,0.9937011547882888,0.9746449113745744,0.9686224192231424,0.9716243329720233,0.4769789996303858,11,188,30
frankfurt_000001_066438,GaussNoise,0,5.0,24.742398273168448,800.0,800.0,1.0,701.0,695.0,0.86875,0.9914407988587732,5245.0,5399.0,1.0293612964728314,0.9586960548249676,0.9815061963775024,0.9699670409826535,0.3433431291863978,13,242,12
frankfurt_000001_067092,GaussNoise,0,5.0,26.54579797908665,800.0,800.0,1.0,741.0,739.0,0.92375,0.9973009446693657,39573.0,39745.0,1.0043463977964775,0.968574663479683,0.9725823162257095,0.9705743528146563,0.5172799983825634,9,195,35
frankfurt_000001_067178,GaussNoise,0,5.0,26.341822460634283,800.0,800.0,1.0,741.0,738.0,0.9225,0.9959514170040485,32969.0,33104.0,1.0040947556795778,0.9714233929434509,0.9726106342321574,0.9720166510576587,0.3176011645631835,14,199,27
frankfurt_000001_068208,GaussNoise,0,5.0,25.25294757960736,800.0,800.0,1.0,725.0,720.0,0.9,0.993103448275862,21518.0,21624.0,1.0049261083743843,0.9782648908620052,0.9838739659819686,0.9810614112208618,0.516922563541054,14,156,19
frankfurt_000001_070099,GaussNoise,0,5.0,25.27462588456865,800.0,800.0,1.0,724.0,723.0,0.90375,0.9986187845303868,17532.0,16853.0,0.9612708190736938,0.9652287426570937,0.9279032626055214,0.9461980432240376,0.533093912903504,13,175,20
frankfurt_000001_073911,GaussNoise,0,5.0,25.66166837161667,800.0,800.0,1.0,725.0,723.0,0.90375,0.9972413793103448,21607.0,22204.0,1.0276299347433702,0.9470816069176725,0.9707502198361642,0.9587698621878437,0.4571856014756202,14,130,27
frankfurt_000001_076502,GaussNoise,0,5.0,26.013893148423072,800.0,800.0,1.0,727.0,725.0,0.90625,0.9972489683631361,29750.0,30086.0,1.011294117647059,0.9711161337499169,0.9809411764705882,0.9760039295389392,0.5404426123709098,15,175,31
frankfurt_000001_077092,GaussNoise,0,5.0,26.080480671309555,800.0,800.0,1.0,735.0,734.0,0.9175,0.998639455782313,33698.0,33889.0,1.0056679921657072,0.9700492785269557,0.9760816665677489,0.9730561233035189,0.34885140497278655,14,202,37
frankfurt_000001_080091,GaussNoise,0,5.0,26.46801061408356,800.0,800.0,1.0,725.0,722.0,0.9025,0.9958620689655172,43571.0,43755.0,1.0042229923573018,0.9804822306022168,0.9844162401597393,0.9824452971542887,0.46867852188838677,13,257,17
frankfurt_000001_082087,GaussNoise,0,5.0,25.65521415171236,800.0,800.0,1.0,713.0,712.0,0.89,0.9985974754558204,5168.0,5267.0,1.019156346749226,0.9667742547940004,0.9825851393188855,0.9746155775128087,0.348810624166865,16,231,28
