distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,35.0,12,rider,0.11601137366408472,0.14070080862533693,378420,133779
GaussNoise,35.0,13,car,0.8263879830849958,0.9010282970566423,13170027,13056099
GaussNoise,35.0,14,truck,0.7311650739611145,0.7637862057744611,866609,700568
GaussNoise,35.0,15,bus,0.5756786298499137,0.5975646017477527,638992,406132
GaussNoise,35.0,16,train,0.01596798882831592,0.046846193845232656,63463,125695
GaussNoise,35.0,17,motorcycle,0.033923149813385935,0.04404616033585762,199132,68194
GaussNoise,35.0,18,bicycle,0.4615061405363404,0.5830816324455157,1474965,1248578
GaussNoise,50.0,0,road,0.9139261149254133,0.9728286988762864,83055684,86151896
GaussNoise,50.0,1,sidewalk,0.4930099170004695,0.5755053981869803,13341609,9910623
GaussNoise,50.0,2,building,0.7813602514844956,0.9349029915542543,54242339,61370323
GaussNoise,50.0,3,wall,0.1477157603340143,0.20345208512517263,1259181,731299
GaussNoise,50.0,4,fence,0.27687992386136256,0.47420948160775744,2904866,3447784
GaussNoise,50.0,5,pole,0.19964492191011082,0.2439870839150804,3268173,1523270
GaussNoise,50.0,6,traffic light,0.2107624642087552,0.21942944247301693,488084,127171
GaussNoise,50.0,7,traffic sign,0.2910892188690543,0.3069244299257446,1656714,598611
GaussNoise,50.0,8,vegetation,0.7678367728002579,0.853057849397987,37874102,36512391
GaussNoise,50.0,9,terrain,0.28372963550077285,0.323704085570777,1774905,824609
GaussNoise,50.0,10,sky,0.8925502274240139,0.9257872218642023,7910794,7618296
GaussNoise,50.0,11,person,0.4159605547512987,0.6342070270217681,3186357,3692630
GaussNoise,50.0,12,rider,0.05973119759510982,0.07225040959780138,378420,106655
GaussNoise,50.0,13,car,0.787998613127902,0.8642247278612261,13170027,12655850
GaussNoise,50.0,14,truck,0.590948419372878,0.6328667253628799,866609,609920
GaussNoise,50.0,15,bus,0.45170548982431086,0.4593343891629316,638992,304303
GaussNoise,50.0,16,train,0.0046912392215455135,0.011676094732363739,63463,95232
GaussNoise,50.0,17,motorcycle,0.020228853530070288,0.04428218468151779,199132,245598
GaussNoise,50.0,18,bicycle,0.3921942104021567,0.5162414023383606,1474965,1227955
SevereJPEG,80.0,0,road,0.9611691839674512,0.9795773519847238,83055684,82950137
SevereJPEG,80.0,1,sidewalk,0.7294847826254718,0.8077234162686074,13341609,12207243
SevereJPEG,80.0,2,building,0.8672587952040698,0.9491869626049865,54242339,56610284
SevereJPEG,80.0,3,wall,0.3643180480870624,0.4966251873241416,1259181,1082630
SevereJPEG,80.0,4,fence,0.3866354142202488,0.5752275664350782,2904866,3087888
SevereJPEG,80.0,5,pole,0.2989175451636998,0.40458415145097887,3268173,2477542
SevereJPEG,80.0,6,traffic light,0.38924886717539225,0.4322534645675744,488084,264900
SevereJPEG,80.0,7,traffic sign,0.5187130555919983,0.5942443897981184,1656714,1225732
SevereJPEG,80.0,8,vegetation,0.8657094798129209,0.9418659483992519,37874102,39004112
SevereJPEG,80.0,9,terrain,0.5011555029937382,0.5930565297861012,1774905,1378098
SevereJPEG,80.0,10,sky,0.9196996606983168,0.9513783319348222,7910794,7798642
SevereJPEG,80.0,11,person,0.5654103223802586,0.7175605244484532,3186357,3143843
SevereJPEG,80.0,12,rider,0.22473348602953455,0.28806352729771156,378420,215648
SevereJPEG,80.0,13,car,0.8726298654029334,0.9393395321057428,13170027,13377932
SevereJPEG,80.0,14,truck,0.7732704252142543,0.8396981799173561,866609,802136
SevereJPEG,80.0,15,bus,0.5510143985843351,0.6237448982146881,638992,482911
SevereJPEG,80.0,16,train,0.24247464331291088,0.6317224209381844,63463,141969
SevereJPEG,80.0,17,motorcycle,0.3641324658366915,0.40612257196231644,199132,103835
SevereJPEG,80.0,18,bicycle,0.5413315556089493,0.6843165770035221,1474965,1398934
SevereJPEG,60.0,0,road,0.9598869471990557,0.9789056580402131,83055684,82949302
SevereJPEG,60.0,1,sidewalk,0.7213584439012541,0.7957546200012308,13341609,11992613
SevereJPEG,60.0,2,building,0.8640921421421993,0.9477396798836422,54242339,56658490
