distortion,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
GaussNoise,20.0,motorcycle,0.04693405581462412,0.11857650630472867,0.08333333333333333,0.2972972972972973,0.6313178650077925,37.0,132.0
GaussNoise,20.0,bus,0.20693547615631128,0.2541493279762759,0.029166666666666667,0.3333333333333333,0.8258905047677866,21.0,240.0
GaussNoise,20.0,train,0.02244224422442244,0.1122112211221122,0.008403361344537815,0.3333333333333333,0.5784001318292399,3.0,119.0
GaussNoise,20.0,truck,0.11297885710986233,0.16267084459523398,0.01453104359313078,0.4782608695652174,0.8007916384102888,23.0,757.0
GaussNoise,35.0,person,0.07553544547647845,0.15839748144525054,0.04420898794300329,0.3384615384615385,0.6882544758812346,715.0,5474.0
GaussNoise,35.0,bicycle,0.031049528212394206,0.048254801334903244,0.03297682709447415,0.13309352517985612,0.696757648633158,278.0,1122.0
GaussNoise,35.0,car,0.19776457579297152,0.3406931705724264,0.05737549706494982,0.5329815303430079,0.7228184797134771,1137.0,10562.0
GaussNoise,35.0,motorcycle,0.020671033372518688,0.07104281856757104,0.03787878787878788,0.13513513513513514,0.638146051309459,37.0,132.0
GaussNoise,35.0,bus,0.08209195919591959,0.12942544254425442,0.05952380952380952,0.23809523809523808,0.7711220179132573,21.0,84.0
GaussNoise,35.0,train,0.0,0.0,0.0,0.0,0.0,3.0,228.0
GaussNoise,35.0,truck,0.03986108845580175,0.05423179246690242,0.006531204644412192,0.391304347826087,0.785960015732868,23.0,1378.0
GaussNoise,50.0,person,0.04299645728869929,0.09389892884775439,0.034759358288770054,0.2,0.6741796087261002,715.0,4114.0
GaussNoise,50.0,bicycle,0.006360467100190931,0.01124834132897826,0.02564102564102564,0.025179856115107913,0.6395753898530186,278.0,273.0
GaussNoise,50.0,car,0.10257389049782754,0.18153334955989367,0.06641753015118057,0.3438874230430959,0.7152737518929685,1137.0,5887.0
GaussNoise,50.0,motorcycle,0.0061988807576409816,0.012483857081360308,0.08695652173913043,0.05405405405405406,0.6608632503941694,37.0,23.0
