distortion,level,model,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
SevereJPEG,5.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LowLight,0.8,pretrained,person,0.22667405429139023,0.38976737239381054,0.07421875,0.6551724137931034,0.7071286927568997,29.0,256.0
LowLight,0.8,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,15.0
LowLight,0.8,pretrained,car,0.3821052549199926,0.5788642745306245,0.0835214446952596,0.6727272727272727,0.7736433983793246,55.0,443.0
LowLight,0.8,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.8,pretrained,bus,,,0.0,0.0,0.0,0.0,7.0
LowLight,0.8,pretrained,train,,,0.0,0.0,0.0,0.0,1.0
LowLight,0.8,pretrained,truck,0.5504950495049504,1.0,0.0625,1.0,0.7779070564695237,2.0,32.0
LowLight,0.8,fine_tuned,person,0.0018511190791068687,0.005342985484258312,0.008,0.41379310344827586,0.7246397849744596,29.0,1500.0
LowLight,0.8,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
LowLight,0.8,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
LowLight,0.8,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.8,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.8,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.8,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LowLight,0.6,pretrained,person,0.22301257398795116,0.3936799689922081,0.06896551724137931,0.6206896551724138,0.7043274608010396,29.0,261.0
LowLight,0.6,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,16.0
LowLight,0.6,pretrained,car,0.367644430370812,0.5477037308242324,0.08083140877598152,0.6363636363636364,0.7768713561438593,55.0,433.0
LowLight,0.6,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.6,pretrained,bus,,,0.0,0.0,0.0,0.0,4.0
LowLight,0.6,pretrained,train,,,0.0,0.0,0.0,0.0,2.0
LowLight,0.6,pretrained,truck,0.5504950495049504,1.0,0.05714285714285714,1.0,0.7852483019387821,2.0,35.0
LowLight,0.6,fine_tuned,person,0.001698966130761979,0.005383325086454477,0.008,0.41379310344827586,0.6684393030914451,29.0,1500.0
LowLight,0.6,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
LowLight,0.6,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
LowLight,0.6,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.6,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.6,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.6,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LowLight,0.4,pretrained,person,0.2051213465731791,0.3449841224723976,0.06837606837606838,0.5517241379310345,0.7256680948015779,29.0,234.0
LowLight,0.4,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,13.0
LowLight,0.4,pretrained,car,0.3649247005559177,0.5529192870726448,0.08450704225352113,0.6545454545454545,0.7721293473787498,55.0,426.0
LowLight,0.4,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.4,pretrained,bus,,,0.0,0.0,0.0,0.0,2.0
LowLight,0.4,pretrained,train,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.4,pretrained,truck,0.6252475247524752,1.0,0.06896551724137931,1.0,0.7884065652112153,2.0,29.0
LowLight,0.4,fine_tuned,person,0.0012340328463052693,0.0037162524020616524,0.007333333333333333,0.3793103448275862,0.6651834439677828,29.0,1500.0
LowLight,0.4,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
LowLight,0.4,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
LowLight,0.4,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.4,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.4,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.4,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LowLight,0.25,pretrained,person,0.18236480226144341,0.2949864744453994,0.06190476190476191,0.4482758620689655,0.7569370173758171,29.0,210.0
LowLight,0.25,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,12.0
LowLight,0.25,pretrained,car,0.3549720386417258,0.5472608226234782,0.08144796380090498,0.6545454545454545,0.7686142992550477,55.0,442.0
LowLight,0.25,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,2.0
LowLight,0.25,pretrained,bus,,,0.0,0.0,0.0,0.0,2.0
LowLight,0.25,pretrained,train,,,0.0,0.0,0.0,0.0,4.0
LowLight,0.25,pretrained,truck,0.5178217821782178,0.8349834983498351,0.07692307692307693,1.0,0.8060899671305115,2.0,26.0
LowLight,0.25,fine_tuned,person,0.0012304312349656807,0.003636222676934033,0.007333333333333333,0.3793103448275862,0.6716893227686684,29.0,1500.0
LowLight,0.25,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
LowLight,0.25,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
LowLight,0.25,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.25,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.25,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.25,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LowLight,0.1,pretrained,person,0.15816733697302549,0.2556954544323927,0.07017543859649122,0.41379310344827586,0.7636213565670343,29.0,171.0
LowLight,0.1,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,4.0
LowLight,0.1,pretrained,car,0.2760627415925034,0.47744733572944204,0.06941838649155722,0.6727272727272727,0.7376960494549478,55.0,533.0
LowLight,0.1,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.1,pretrained,bus,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.1,pretrained,train,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.1,pretrained,truck,0.4343234323432344,0.8349834983498351,0.14285714285714285,1.0,0.768421109455047,2.0,14.0
LowLight,0.1,fine_tuned,person,0.000978382046372547,0.003292677517955687,0.005333333333333333,0.27586206896551724,0.6204011230855676,29.0,1500.0
LowLight,0.1,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
LowLight,0.1,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
LowLight,0.1,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.1,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.1,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.1,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MotionBlur,3.0,pretrained,person,0.2212047913891387,0.36933214295831107,0.06772908366533864,0.5862068965517241,0.7224261674027053,29.0,251.0
MotionBlur,3.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,12.0
MotionBlur,3.0,pretrained,car,0.39065718275643285,0.6172908942619185,0.0819327731092437,0.7090909090909091,0.7637841360183625,55.0,476.0
MotionBlur,3.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,4.0
MotionBlur,3.0,pretrained,bus,,,0.0,0.0,0.0,0.0,8.0
MotionBlur,3.0,pretrained,train,,,0.0,0.0,0.0,0.0,1.0
MotionBlur,3.0,pretrained,truck,0.5570957095709571,1.0,0.05128205128205128,1.0,0.7818452769815294,2.0,39.0
MotionBlur,3.0,fine_tuned,person,0.0018513750614306435,0.005377280655315688,0.008,0.41379310344827586,0.6962168202795863,29.0,1500.0
MotionBlur,3.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
MotionBlur,3.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
MotionBlur,3.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,3.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,3.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
MotionBlur,3.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MotionBlur,5.0,pretrained,person,0.22036683812549923,0.38879714683861505,0.075,0.6206896551724138,0.7135778568419603,29.0,240.0
MotionBlur,5.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,11.0
