distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
SevereJPEG,60.0,2,building,0.8111370273710835,0.9296794537617455,1572940,1692205
SevereJPEG,60.0,3,wall,0.0,0.0,4345,227
SevereJPEG,60.0,4,fence,0.03457978526471677,0.23741738688357905,3934,24010
SevereJPEG,60.0,5,pole,0.2461294185863775,0.42143599450692204,107772,122180
SevereJPEG,60.0,6,traffic light,0.5697458152510849,0.5939067548853669,64990,41354
SevereJPEG,60.0,7,traffic sign,0.6596272677838746,0.7354601172891221,90716,77147
SevereJPEG,60.0,8,vegetation,0.8425671607598951,0.9100103387997116,1923821,1904689
SevereJPEG,60.0,9,terrain,0.44672046466779924,0.5241950148503849,148481,103584
SevereJPEG,60.0,10,sky,0.915176349580278,0.9470304975922953,349503,343155
SevereJPEG,60.0,11,person,0.2643002697286648,0.32082520784152724,97430,52095
SevereJPEG,60.0,12,rider,0.0,0.0,5979,0
SevereJPEG,60.0,13,car,0.870986903404879,0.9486345389256391,935142,970475
SevereJPEG,60.0,14,truck,0.6992001098561571,0.8321382607096893,48951,50041
SevereJPEG,60.0,15,bus,,,0,0
SevereJPEG,60.0,16,train,,,0,0
SevereJPEG,60.0,17,motorcycle,,,0,0
SevereJPEG,60.0,18,bicycle,0.2470841855066055,0.40408606038691014,11062,11499
SevereJPEG,40.0,0,road,0.9690828383075931,0.9828731655057285,3477934,3467860
SevereJPEG,40.0,1,sidewalk,0.6782373384536162,0.8069352118265701,403160,401825
SevereJPEG,40.0,2,building,0.8110519314229738,0.9306368965122637,1572940,1695757
SevereJPEG,40.0,3,wall,0.0,0.0,4345,576
SevereJPEG,40.0,4,fence,0.05435631612582546,0.38917132689374684,3934,25763
SevereJPEG,40.0,5,pole,0.25024801455726087,0.4376925360947185,107772,127896
SevereJPEG,40.0,6,traffic light,0.6226490596238495,0.6464379135251577,64990,44495
SevereJPEG,40.0,7,traffic sign,0.6303293092909535,0.7275232594029719,90716,79986
SevereJPEG,40.0,8,vegetation,0.8369353791384627,0.8984271405707703,1923821,1869761
SevereJPEG,40.0,9,terrain,0.4203579660040334,0.4716765107993615,148481,88162
SevereJPEG,40.0,10,sky,0.916002398273685,0.9485641038846591,349503,343950
SevereJPEG,40.0,11,person,0.2923316465550798,0.38540490608642103,97430,68570
SevereJPEG,40.0,12,rider,0.0,0.0,5979,0
SevereJPEG,40.0,13,car,0.8669364587882947,0.9509154759384136,935142,979827
SevereJPEG,40.0,14,truck,0.5418174041665924,0.6210904782333354,48951,37565
SevereJPEG,40.0,15,bus,,,0,0
SevereJPEG,40.0,16,train,,,0,0
SevereJPEG,40.0,17,motorcycle,0.0,,0,68
SevereJPEG,40.0,18,bicycle,0.21668278529980659,0.40508045561381306,11062,14099
SevereJPEG,20.0,0,road,0.9592861462125344,0.9765743110708829,3477934,3459140
SevereJPEG,20.0,1,sidewalk,0.6118784064966682,0.7206493699771803,403160,362205
SevereJPEG,20.0,2,building,0.7584652678814917,0.9247587320558953,1572940,1799457
SevereJPEG,20.0,3,wall,0.0,0.0,4345,1422
