sample_id,orb_keypoints,orb_self_match_retention,canny_edge_pixels,canny_self_f1,seg_mean_iou,seg_classes_present,gt_detection_objects,yolo_detection_objects
lindau_000022_000019,800.0,1.0,4527.0,1.0,0.44567314043020634,12,4,40
lindau_000025_000019,800.0,1.0,4821.0,1.0,0.3916680452553662,13,10,89
lindau_000026_000019,800.0,1.0,1101.0,1.0,0.4070604909137883,11,8,33
lindau_000027_000019,800.0,1.0,867.0,1.0,0.5274300421604876,8,6,38
lindau_000028_000019,800.0,1.0,22580.0,1.0,0.5406214550038915,10,5,23
lindau_000029_000019,800.0,1.0,9885.0,1.0,0.3014768815180855,12,7,91
lindau_000030_000019,800.0,1.0,12453.0,1.0,0.27990281659473704,10,1,22
lindau_000031_000019,800.0,1.0,11305.0,1.0,0.4393810768257463,11,2,146
lindau_000032_000019,800.0,1.0,13244.0,1.0,0.5460808631489334,6,0,30
lindau_000037_000019,800.0,1.0,8848.0,1.0,0.5649496836483453,9,7,58
lindau_000044_000019,800.0,1.0,4669.0,1.0,0.46725820923026684,6,2,51
lindau_000049_000019,800.0,1.0,3949.0,1.0,0.32137170070722193,8,0,26
lindau_000054_000019,800.0,1.0,16537.0,1.0,0.49110330050768447,10,2,8
lindau_000055_000019,800.0,1.0,42893.0,1.0,0.29297882388144136,12,8,124
munster_000001_000019,800.0,1.0,8884.0,1.0,0.6799020249090921,11,15,78
munster_000007_000019,800.0,1.0,11834.0,1.0,0.5106383103226962,15,21,146
munster_000014_000019,800.0,1.0,7568.0,1.0,0.5968275988326803,10,39,182
munster_000016_000019,800.0,1.0,15421.0,1.0,0.5782634582587669,11,20,110
munster_000022_000019,800.0,1.0,7814.0,1.0,0.5085520955477327,15,21,121
munster_000023_000019,800.0,1.0,4164.0,1.0,0.5320140403908685,15,19,133
munster_000029_000019,800.0,1.0,7668.0,1.0,0.5411327253620926,14,24,146
munster_000030_000019,800.0,1.0,11133.0,1.0,0.44463964207672085,15,8,86
munster_000031_000019,800.0,1.0,11771.0,1.0,0.44989911448003406,15,32,190
munster_000038_000019,800.0,1.0,17387.0,1.0,0.5731248788149633,14,36,184
munster_000047_000019,800.0,1.0,13194.0,1.0,0.4851412478685581,15,26,165
munster_000061_000019,800.0,1.0,6442.0,1.0,0.5375114626229874,11,25,142
munster_000065_000019,800.0,1.0,4807.0,1.0,0.5830505966785625,12,17,218
munster_000071_000019,800.0,1.0,5527.0,1.0,0.48052821172265864,14,28,207
munster_000073_000019,800.0,1.0,7587.0,1.0,0.6896161775442946,8,24,136
munster_000080_000019,800.0,1.0,14584.0,1.0,0.4859385591232461,17,20,187
munster_000083_000019,800.0,1.0,13051.0,1.0,0.43898770192745995,18,11,133
munster_000091_000019,800.0,1.0,15494.0,1.0,0.46338397351914223,14,23,132
munster_000094_000019,800.0,1.0,19828.0,1.0,0.4221942768612293,16,37,234
munster_000095_000019,800.0,1.0,6925.0,1.0,0.5324749083689115,13,15,139
munster_000097_000019,800.0,1.0,11433.0,1.0,0.47024007685698815,14,28,193
munster_000100_000019,800.0,1.0,3630.0,1.0,0.5718075269474693,8,2,60
munster_000105_000019,800.0,1.0,8253.0,1.0,0.4794079603030496,14,24,108
munster_000113_000019,800.0,1.0,8339.0,1.0,0.5627594387087844,13,7,136
munster_000120_000019,800.0,1.0,3666.0,1.0,0.57742139326287,11,12,75
munster_000125_000019,800.0,1.0,8227.0,1.0,0.3828970975420853,16,14,126
munster_000126_000019,800.0,1.0,6585.0,1.0,0.49917217787027546,15,10,90
munster_000129_000019,800.0,1.0,5446.0,1.0,0.4871920815546679,15,25,136
munster_000133_000019,800.0,1.0,11321.0,1.0,0.3168362737488121,14,10,80
munster_000138_000019,800.0,1.0,21567.0,1.0,0.5843456295693901,11,32,168
munster_000139_000019,800.0,1.0,28237.0,1.0,0.5656012701774572,11,41,278
munster_000148_000019,800.0,1.0,10421.0,1.0,0.5534011569430578,11,45,164
munster_000153_000019,800.0,1.0,21581.0,1.0,0.42225986132441673,15,22,184
munster_000154_000019,800.0,1.0,27402.0,1.0,0.4190840510334025,14,17,180
munster_000159_000019,800.0,1.0,7374.0,1.0,0.5183037564370329,15,9,57
munster_000162_000019,800.0,1.0,11091.0,1.0,0.4595278275017298,13,12,117
munster_000167_000019,800.0,1.0,24453.0,1.0,0.48717237338930086,15,23,239
munster_000171_000019,800.0,1.0,11986.0,1.0,0.40992132336306064,16,8,90
