distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
SevereJPEG,80.0,distorted,car,0.35888458987143296,0.551865393102266,0.08854166666666667,0.6732673267326733,0.7790345299602195,202.0,1536.0
SevereJPEG,80.0,distorted,motorcycle,0.27407757115893144,0.6043908738699957,0.09433962264150944,0.7142857142857143,0.6989412343220444,7.0,53.0
SevereJPEG,80.0,distorted,bus,0.07574257425742574,0.2524752475247525,0.01818181818181818,0.5,0.6036398541228205,2.0,55.0
SevereJPEG,80.0,distorted,train,,,0.0,0.0,0.0,0.0,17.0
SevereJPEG,80.0,distorted,truck,0.37110875373251606,0.7182461103253183,0.040983606557377046,0.8333333333333334,0.783105568545077,6.0,122.0
SevereJPEG,80.0,restored,person,0.2137354568063181,0.3701154759612685,0.0710431654676259,0.5563380281690141,0.7407779509863055,142.0,1112.0
SevereJPEG,80.0,restored,bicycle,0.0718386343548508,0.14046971924083165,0.03197674418604651,0.22,0.6932109917853987,50.0,344.0
SevereJPEG,80.0,restored,car,0.3546914574698644,0.5458739139461256,0.08678500986193294,0.6534653465346535,0.7825592236573451,202.0,1521.0
SevereJPEG,80.0,restored,motorcycle,0.22392816644301788,0.5362774372675362,0.07575757575757576,0.7142857142857143,0.7043249914512482,7.0,66.0
SevereJPEG,80.0,restored,bus,0.07574257425742574,0.2524752475247525,0.02,0.5,0.6204132399197295,2.0,50.0
SevereJPEG,80.0,restored,train,,,0.0,0.0,0.0,0.0,16.0
SevereJPEG,80.0,restored,truck,0.39115511551155113,0.721122112211221,0.04807692307692308,0.8333333333333334,0.7840506365196059,6.0,104.0
SevereJPEG,60.0,distorted,person,0.20410795034889612,0.3668875175163353,0.06797853309481217,0.5352112676056338,0.741213621557849,142.0,1118.0
SevereJPEG,60.0,distorted,bicycle,0.06545194007458839,0.14863341536887031,0.034574468085106384,0.26,0.6688488582573666,50.0,376.0
SevereJPEG,60.0,distorted,car,0.35527854828137106,0.5699348981035727,0.09003831417624521,0.698019801980198,0.7669897125475035,202.0,1566.0
SevereJPEG,60.0,distorted,motorcycle,0.2641236285790741,0.6089108910891089,0.08064516129032258,0.7142857142857143,0.7087980376131687,7.0,62.0
SevereJPEG,60.0,distorted,bus,0.033663366336633666,0.16831683168316833,0.019230769230769232,0.5,0.5820588529688632,2.0,52.0
SevereJPEG,60.0,distorted,train,,,0.0,0.0,0.0,0.0,18.0
SevereJPEG,60.0,distorted,truck,0.3715110796793965,0.6962517680339463,0.044642857142857144,0.8333333333333334,0.7783557293691196,6.0,112.0
SevereJPEG,60.0,restored,person,0.20356709100137976,0.3566961020678603,0.07004608294930875,0.5352112676056338,0.7420462469218148,142.0,1085.0
SevereJPEG,60.0,restored,bicycle,0.07081429657048952,0.1314826867302115,0.03081232492997199,0.22,0.6837420239395854,50.0,357.0
SevereJPEG,60.0,restored,car,0.34958884838071586,0.5578925568450945,0.08915971776779986,0.6881188118811881,0.7694682470209955,202.0,1559.0
SevereJPEG,60.0,restored,motorcycle,0.2445115940165445,0.5775577557755776,0.07142857142857142,0.7142857142857143,0.7181832175898384,7.0,70.0
SevereJPEG,60.0,restored,bus,0.0504950495049505,0.2524752475247525,0.02127659574468085,0.5,0.5949523656249589,2.0,47.0
SevereJPEG,60.0,restored,train,,,0.0,0.0,0.0,0.0,14.0
SevereJPEG,60.0,restored,truck,0.3668788307402169,0.721122112211221,0.04672897196261682,0.8333333333333334,0.7797419032013507,6.0,107.0
SevereJPEG,40.0,distorted,person,0.20157482241993652,0.36642410284007115,0.06649395509499137,0.5422535211267606,0.7417974228761269,142.0,1158.0
SevereJPEG,40.0,distorted,bicycle,0.07326452426888687,0.15967257984721248,0.03234501347708895,0.24,0.6752641564147397,50.0,371.0
SevereJPEG,40.0,distorted,car,0.3594494988568403,0.5606571258029396,0.08723135271807839,0.6831683168316832,0.7743397491104025,202.0,1582.0
SevereJPEG,40.0,distorted,motorcycle,0.23427541750830602,0.6089108910891089,0.07352941176470588,0.7142857142857143,0.6678149237559341,7.0,68.0
SevereJPEG,40.0,distorted,bus,0.07574257425742574,0.2524752475247525,0.018867924528301886,0.5,0.6110922616600035,2.0,53.0
SevereJPEG,40.0,distorted,train,,,0.0,0.0,0.0,0.0,17.0
SevereJPEG,40.0,distorted,truck,0.4072135785007071,0.7182461103253183,0.040983606557377046,0.8333333333333334,0.8012457151293155,6.0,122.0
SevereJPEG,40.0,restored,person,0.20449144046684992,0.3552323147572052,0.06812227074235808,0.5492957746478874,0.742530100720157,142.0,1145.0
SevereJPEG,40.0,restored,bicycle,0.07508543887090566,0.14765290548285406,0.034482758620689655,0.24,0.6805793100003813,50.0,348.0
SevereJPEG,40.0,restored,car,0.3545341843158605,0.5505249952458449,0.08881578947368421,0.6683168316831684,0.7758049033970308,202.0,1520.0
SevereJPEG,40.0,restored,motorcycle,0.22242274353937605,0.5536303630363036,0.07246376811594203,0.7142857142857143,0.6768225624357884,7.0,69.0
SevereJPEG,40.0,restored,bus,0.07574257425742574,0.2524752475247525,0.0196078431372549,0.5,0.6049793385410642,2.0,51.0
SevereJPEG,40.0,restored,train,,,0.0,0.0,0.0,0.0,14.0
SevereJPEG,40.0,restored,truck,0.3855775577557755,0.721122112211221,0.04310344827586207,0.8333333333333334,0.8006579906950526,6.0,116.0
SevereJPEG,20.0,distorted,person,0.1962775762366416,0.3502772619077906,0.06468085106382979,0.5352112676056338,0.7280905016274635,142.0,1175.0
SevereJPEG,20.0,distorted,bicycle,0.05973691031465879,0.1279339924140133,0.034229828850855744,0.28,0.6538277367647015,50.0,409.0
SevereJPEG,20.0,distorted,car,0.34597445092561846,0.5428043763930891,0.08113091579594345,0.6534653465346535,0.7743241713400751,202.0,1627.0
SevereJPEG,20.0,distorted,motorcycle,0.18273150844496214,0.4432149097262667,0.05970149253731343,0.5714285714285714,0.7048552107587736,7.0,67.0
SevereJPEG,20.0,distorted,bus,0.033663366336633666,0.16831683168316833,0.018518518518518517,0.5,0.5783082690340845,2.0,54.0
SevereJPEG,20.0,distorted,train,,,0.0,0.0,0.0,0.0,7.0
SevereJPEG,20.0,distorted,truck,0.32702145214521455,0.5790016501650166,0.03816793893129771,0.8333333333333334,0.759920265476724,6.0,131.0
SevereJPEG,20.0,restored,person,0.1892578223047699,0.3432442743964176,0.0644883920894239,0.528169014084507,0.729617393342294,142.0,1163.0
SevereJPEG,20.0,restored,bicycle,0.058182573049493404,0.11437466100303667,0.029023746701846966,0.22,0.7391542412686295,50.0,379.0
SevereJPEG,20.0,restored,car,0.34365154029777945,0.5414415435651141,0.08485229415461974,0.6683168316831684,0.7665449209802893,202.0,1591.0
SevereJPEG,20.0,restored,motorcycle,0.20643343785024798,0.4417982338774417,0.06451612903225806,0.5714285714285714,0.6615983759189612,7.0,62.0
