sample_id,distortion,level_index,level,distorted_snr_db,restored_snr_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted_image_miou,seg_restored_image_miou,detections_distorted,detections_restored
lindau_000007_000019,GaussNoise,2,20.0,12.78478600156815,23.221281417498524,0.71375,0.4175,0.8758351509356141,0.6122490641169217,0.47211745799801264,0.39807562491042703,122,136
lindau_000031_000019,GaussNoise,2,20.0,11.793868248656615,20.50088704456512,0.75375,0.34875,0.9294780320913637,0.5554129693948673,0.3895503796717342,0.38860467434199225,126,144
munster_000007_000019,GaussNoise,2,20.0,12.756035590149757,21.572620910751468,0.78125,0.4175,0.9226762070110079,0.6730916375219949,0.5233935052092257,0.407727599543172,190,153
munster_000094_000019,GaussNoise,2,20.0,11.663189845371907,18.653481657826585,0.79125,0.39,0.9339068738497036,0.6142005292211897,0.4278505302620229,0.4470789859622447,261,238
munster_000139_000019,GaussNoise,2,20.0,13.720265135103284,20.245196938107544,0.73625,0.3525,0.9160331529647541,0.6370440396906738,0.49118217136596143,0.5018636084166762,283,288
munster_000159_000019,GaussNoise,2,20.0,14.57450859118985,24.482998757114483,0.67375,0.3675,0.9555291786840069,0.8210800033446273,0.46546109909591815,0.39654567259678536,71,72
frankfurt_000000_009688,GaussNoise,3,35.0,8.704087424857867,21.864305813920353,0.58625,0.355,0.751559146133752,0.39035242422288874,0.4461856602926524,0.4136057991125989,41,86
frankfurt_000000_011074,GaussNoise,3,35.0,10.077519915349223,21.58686124353055,0.58375,0.335,0.8390305231074776,0.5862499930706705,0.39204676863566357,0.38071191283136246,170,128
frankfurt_000000_012868,GaussNoise,3,35.0,10.696238412606448,19.663650377256484,0.62625,0.43875,0.8848367500081539,0.6804175336924718,0.3098590597558421,0.322815273191513,283,248
frankfurt_000000_016005,GaussNoise,3,35.0,9.357994769678863,20.778327027467867,0.545,0.355,0.8292779158717647,0.6325110707050151,0.2993000377585853,0.3056855149612579,176,114
frankfurt_000000_020321,GaussNoise,3,35.0,9.360603772573032,19.776309236456015,0.59875,0.35625,0.8485314698059012,0.561709910808812,0.3695082224396921,0.42550351259596675,169,167
frankfurt_000000_022254,GaussNoise,3,35.0,7.81736071352317,20.160610783935702,0.52875,0.3225,0.8364787563469248,0.46047190463327103,0.4152686701279964,0.4326460709388589,192,184
frankfurt_000001_010830,GaussNoise,3,35.0,9.148360950643845,18.70297730653576,0.7225,0.5275,0.8920714752396041,0.7077069357031216,0.48992887829798865,0.3375686837568658,271,219
frankfurt_000001_021406,GaussNoise,3,35.0,8.737911742139858,19.802721547730723,0.59375,0.34,0.871961550867202,0.5079815791706077,0.5294930899332816,0.46831023041397696,106,83
frankfurt_000001_046779,GaussNoise,3,35.0,9.598866035644427,19.372533396912267,0.605,0.3775,0.8615564206990088,0.6603921277817125,0.34873744812967844,0.29526483602181763,268,226
frankfurt_000001_054640,GaussNoise,3,35.0,10.812152036374705,20.014106861152307,0.54875,0.30875,0.8843322249056447,0.596844832885334,0.3654743223505672,0.42931816761765523,254,225
frankfurt_000001_058504,GaussNoise,3,35.0,9.416256048330453,19.772401889473702,0.63125,0.3625,0.8478448081765354,0.630438090551272,0.5514445655846669,0.42627141246843897,265,210
frankfurt_000001_062250,GaussNoise,3,35.0,8.262310243084428,20.605180263410723,0.4175,0.2625,0.7118209266169108,0.6154615439034273,0.2874558916762799,0.2748589390172915,24,178
frankfurt_000001_064651,GaussNoise,3,35.0,10.363846287610157,20.154335639178864,0.595,0.325,0.8490181904176598,0.5925846318301766,0.512600236201572,0.37245763509762003,272,204
frankfurt_000001_080091,GaussNoise,3,35.0,10.02374505721544,19.959910264500152,0.5875,0.3525,0.9073010984510324,0.628267710926679,0.38714369369074586,0.34349122951472183,276,255
lindau_000007_000019,GaussNoise,3,35.0,8.297587057280078,21.712045941919264,0.5725,0.4,0.8356743060787385,0.6264914165332355,0.43584026093764633,0.4014528211510159,181,159
lindau_000031_000019,GaussNoise,3,35.0,7.341346868770453,19.27443523855166,0.57375,0.3075,0.8685752528397099,0.5531709267837505,0.34562389409547284,0.34669626317540775,57,137
munster_000007_000019,GaussNoise,3,35.0,8.240594881298648,20.229024445196224,0.65375,0.365,0.8709191730013587,0.6840746147891917,0.4423213351157812,0.40125405637795236,160,178
